sample_size,tau,case_id,concept,bias,sample_size_fct
100,-0.027726834343668294,201,Coefficient-Induced Bias,-0.0035527936878327893,N = 100
100,-0.03087507972290593,229,Coefficient-Induced Bias,-0.004653394013383494,N = 100
100,-0.02809965177198226,221,Coefficient-Induced Bias,-0.003933655288449134,N = 100
100,-0.025260003876095283,185,Coefficient-Induced Bias,-7.275615907228472e-4,N = 100
100,-0.03051436548154396,115,Coefficient-Induced Bias,-0.004327731169687543,N = 100
100,-0.018157973019943263,17,Coefficient-Induced Bias,-4.222243261047254e-4,N = 100
100,-0.03143861205260412,122,Coefficient-Induced Bias,-0.004632089094893432,N = 100
100,-0.030558108452828248,81,Coefficient-Induced Bias,-0.0043757470391126985,N = 100
100,-0.009123682500245867,106,Coefficient-Induced Bias,0.003273901524507461,N = 100
100,-0.031221148993481718,181,Coefficient-Induced Bias,-0.004482471463130522,N = 100
100,-0.0313875281689302,177,Coefficient-Induced Bias,-0.004672674955400691,N = 100
100,-0.030543399086900624,130,Coefficient-Induced Bias,-0.00437108166338307,N = 100
100,-0.030795189591138583,41,Coefficient-Induced Bias,-0.004259816443504261,N = 100
100,-0.030383359154392442,102,Coefficient-Induced Bias,-0.0042096188277016555,N = 100
100,-0.02619538552293227,208,Coefficient-Induced Bias,-0.0024711317160125423,N = 100
100,-0.02899564095298951,231,Coefficient-Induced Bias,-0.0037599305330839328,N = 100
100,-0.027539112460508164,99,Coefficient-Induced Bias,-0.002904414708621017,N = 100
100,-0.03043530620357726,171,Coefficient-Induced Bias,-0.004327447336011425,N = 100
100,-0.031115972781445733,242,Coefficient-Induced Bias,-0.004740833541907463,N = 100
100,-0.012709795625209575,46,Coefficient-Induced Bias,9.541544092334098e-4,N = 100
100,-0.029392871160835332,180,Coefficient-Induced Bias,-0.0036113414114715137,N = 100
100,-0.028309011928075,88,Coefficient-Induced Bias,-0.003675591185220317,N = 100
100,-0.03075387106600369,117,Coefficient-Induced Bias,-0.004424044609446898,N = 100
100,-0.018916064559507118,216,Coefficient-Induced Bias,-4.254138493104964e-4,N = 100
100,-0.027301811731148207,227,Coefficient-Induced Bias,-0.0033650145098252926,N = 100
100,-0.031024414073342,167,Coefficient-Induced Bias,-0.004505585943103574,N = 100
100,-0.027504070537734404,30,Coefficient-Induced Bias,-0.0034684669158412396,N = 100
100,-0.01900187058246683,182,Coefficient-Induced Bias,-7.501948033644679e-4,N = 100
100,-0.016597247620720124,183,Coefficient-Induced Bias,5.306941018839995e-4,N = 100
100,-0.02877114283986648,75,Coefficient-Induced Bias,-0.004134783526448249,N = 100
100,-0.03144544389892501,47,Coefficient-Induced Bias,-0.00453081113663889,N = 100
100,-0.02946978194379979,123,Coefficient-Induced Bias,-0.0043321050509348424,N = 100
100,-0.030639535982526223,108,Coefficient-Induced Bias,-0.004610692254986892,N = 100
100,-0.029052801330109013,101,Coefficient-Induced Bias,-0.0031048525673170735,N = 100
100,-0.03147274970437397,178,Coefficient-Induced Bias,-0.004683131085057746,N = 100
100,-0.023969722503763502,161,Coefficient-Induced Bias,-7.611967133009934e-4,N = 100
100,-0.03128436398297357,61,Coefficient-Induced Bias,-0.004573711595145635,N = 100
100,-0.02307904038374431,84,Coefficient-Induced Bias,-0.0015388271081843152,N = 100
100,-0.03150939770172295,138,Coefficient-Induced Bias,-0.004649974248659705,N = 100
100,-0.010638866487918008,79,Coefficient-Induced Bias,0.0018046939288121067,N = 100
100,-0.031383157187619526,230,Coefficient-Induced Bias,-0.0046989305920143165,N = 100
100,-0.019989707485340125,20,Coefficient-Induced Bias,-0.0010764927098050325,N = 100
100,-0.03150782608932229,62,Coefficient-Induced Bias,-0.004599739303365491,N = 100
100,-0.025984533531809628,246,Coefficient-Induced Bias,-0.0029743557298016476,N = 100
100,-0.03028122995108451,89,Coefficient-Induced Bias,-0.0046304623510663445,N = 100
100,-0.029217444001055692,247,Coefficient-Induced Bias,-0.0035281193060964777,N = 100
100,-0.030895749235028358,164,Coefficient-Induced Bias,-0.0042108142721157815,N = 100
100,-0.018629682442086848,151,Coefficient-Induced Bias,-3.718374226636678e-4,N = 100
100,-0.012844482724704176,58,Coefficient-Induced Bias,9.295933169394255e-4,N = 100
100,-0.02701162791788536,225,Coefficient-Induced Bias,-0.002719937610364931,N = 100
100,-0.03146132784567629,149,Coefficient-Induced Bias,-0.004547047086714329,N = 100
100,-0.0315161774746871,70,Coefficient-Induced Bias,-0.004582841160494511,N = 100
100,-0.03147709220377415,144,Coefficient-Induced Bias,-0.004650907113440073,N = 100
100,-0.028647307010803424,241,Coefficient-Induced Bias,-0.003684134251312643,N = 100
100,-0.024651982430367314,53,Coefficient-Induced Bias,-0.0020156817149994954,N = 100
100,-0.024962579587016198,57,Coefficient-Induced Bias,-0.0018818991312016253,N = 100
100,-0.030508025664256255,91,Coefficient-Induced Bias,-0.004141344333527086,N = 100
100,-0.025405499365949602,5,Coefficient-Induced Bias,-0.0010072007083511414,N = 100
100,-0.02681208542724023,217,Coefficient-Induced Bias,-0.0014663239913577097,N = 100
100,-0.02902875460469856,69,Coefficient-Induced Bias,-0.0034410199899089777,N = 100
100,-0.03086171500823126,219,Coefficient-Induced Bias,-0.004209191910055143,N = 100
100,-0.03134054784221696,43,Coefficient-Induced Bias,-0.004596768595810374,N = 100
100,-0.02625689166465517,187,Coefficient-Induced Bias,-0.003042394421294725,N = 100
100,-0.01833009736833502,210,Coefficient-Induced Bias,-2.841845744520066e-4,N = 100
100,-0.030773040826604703,105,Coefficient-Induced Bias,-0.00462889158826052,N = 100
100,-0.017501943855314672,18,Coefficient-Induced Bias,0.0012735249547048966,N = 100
100,-0.011703477251831629,8,Coefficient-Induced Bias,0.0011824795547622502,N = 100
100,-0.029392871160835332,239,Coefficient-Induced Bias,-0.0036113414114715137,N = 100
100,-0.027270082353311298,127,Coefficient-Induced Bias,-0.003032166628044619,N = 100
100,-0.03113052857029991,72,Coefficient-Induced Bias,-0.004535157169361315,N = 100
100,-0.02994581073136693,175,Coefficient-Induced Bias,-0.004446141576431084,N = 100
100,-0.017221080487308638,135,Coefficient-Induced Bias,-2.465802571394171e-5,N = 100
100,-0.027323844836843247,96,Coefficient-Induced Bias,-0.002538416413727207,N = 100
100,-0.02274746716217735,205,Coefficient-Induced Bias,-0.00127497544740518,N = 100
100,-0.025862535576093193,132,Coefficient-Induced Bias,-0.002560818747735949,N = 100
100,-0.025979320755808943,86,Coefficient-Induced Bias,-0.0026268676549688896,N = 100
100,-0.012830192244677296,22,Coefficient-Induced Bias,0.0018119811166272815,N = 100
100,-0.030850353968956634,60,Coefficient-Induced Bias,-0.0044339007173009315,N = 100
100,-0.02622867928205752,203,Coefficient-Induced Bias,-0.0029558059964693573,N = 100
100,-0.031044316412504547,195,Coefficient-Induced Bias,-0.004335291011917042,N = 100
100,-0.018204750825850047,15,Coefficient-Induced Bias,3.022632289116922e-4,N = 100
100,-0.016601443601401478,50,Coefficient-Induced Bias,0.0016662705683353485,N = 100
100,-0.022673945105427196,166,Coefficient-Induced Bias,-0.001049446713025537,N = 100
100,-0.027231766100114796,107,Coefficient-Induced Bias,-0.0026086135704277424,N = 100
100,-0.013619019942026078,169,Coefficient-Induced Bias,0.002014882500697479,N = 100
100,-0.01981480493149934,67,Coefficient-Induced Bias,5.702975762291729e-4,N = 100
100,-0.025037626325091544,112,Coefficient-Induced Bias,-0.001254121584027268,N = 100
100,-0.03090693507368425,174,Coefficient-Induced Bias,-0.00370374240052862,N = 100
100,-0.00824155912023583,98,Coefficient-Induced Bias,0.002394191852779559,N = 100
100,-0.028619271288683523,2,Coefficient-Induced Bias,-0.0037700822388053723,N = 100
100,-0.03019035270575582,226,Coefficient-Induced Bias,-0.004765839143682449,N = 100
100,-0.031249330882154314,209,Coefficient-Induced Bias,-0.004325461078284354,N = 100
100,-0.02747582096134482,31,Coefficient-Induced Bias,-0.0034339970620242966,N = 100
100,-0.031289529228101465,154,Coefficient-Induced Bias,-0.004536625750862333,N = 100
100,-0.02254019951109354,74,Coefficient-Induced Bias,-0.0012590354782590074,N = 100
100,-0.012366891377846523,148,Coefficient-Induced Bias,0.0013851365034545093,N = 100
100,-0.02947699903445833,172,Coefficient-Induced Bias,-0.004165481649660241,N = 100
100,-0.01858520556888521,56,Coefficient-Induced Bias,-4.08588222380768e-4,N = 100
100,-0.03127673000923292,190,Coefficient-Induced Bias,-0.004631425694477498,N = 100
100,-0.006635367827950267,191,Coefficient-Induced Bias,0.001636341552070819,N = 100
100,-0.03134504426659879,76,Coefficient-Induced Bias,-0.004547881785901986,N = 100
100,-0.031458011982348544,10,Coefficient-Induced Bias,-0.0045831355418436415,N = 100
100,-0.03132483529544422,71,Coefficient-Induced Bias,-0.004443116591687946,N = 100
100,-0.023871391308719403,189,Coefficient-Induced Bias,-0.0023424492887572645,N = 100
100,-0.031359330716531963,12,Coefficient-Induced Bias,-0.004698646171793608,N = 100
100,-0.03089645203887409,45,Coefficient-Induced Bias,-0.004340341323579966,N = 100
100,-0.03022581647046363,103,Coefficient-Induced Bias,-0.004373491982664124,N = 100
100,-0.02559372070210364,238,Coefficient-Induced Bias,-0.0025743457456920416,N = 100
100,-0.011853805417661789,66,Coefficient-Induced Bias,0.0019380797007489958,N = 100
100,-0.02741372104478279,146,Coefficient-Induced Bias,-0.0031922156188787243,N = 100
100,-0.006787847388427304,245,Coefficient-Induced Bias,0.0024441871348319655,N = 100
100,-0.008595820051142566,92,Coefficient-Induced Bias,0.0019857562889279423,N = 100
100,-0.030723639808866055,118,Coefficient-Induced Bias,-0.003124144219911029,N = 100
100,-0.0301516379810709,234,Coefficient-Induced Bias,-0.004215002731078332,N = 100
100,-0.02425799869874168,126,Coefficient-Induced Bias,-0.0016531537157110643,N = 100
100,-0.022734578506968917,52,Coefficient-Induced Bias,-0.0012093071771349662,N = 100
100,-0.016730990091288644,240,Coefficient-Induced Bias,6.993121441301042e-4,N = 100
100,-0.030365837105821414,4,Coefficient-Induced Bias,-0.004171906128631053,N = 100
100,-0.030916780040382175,36,Coefficient-Induced Bias,-0.004473187486847996,N = 100
100,-0.019755849663640745,220,Coefficient-Induced Bias,3.9991334390143685e-5,N = 100
100,-0.027767754564243075,65,Coefficient-Induced Bias,-0.0030658423473940433,N = 100
100,-0.017173708333498183,224,Coefficient-Induced Bias,0.0017108974339015148,N = 100
100,-0.031516690287379134,40,Coefficient-Induced Bias,-0.004629977959089704,N = 100
100,-0.017285446670633586,142,Coefficient-Induced Bias,9.551822850450975e-6,N = 100
100,-0.023869911712879555,170,Coefficient-Induced Bias,-0.0021603570545969397,N = 100
100,-0.004486952172463532,120,Coefficient-Induced Bias,0.001562730778640331,N = 100
100,-0.029815001725951806,143,Coefficient-Induced Bias,-0.0039256858798488725,N = 100
100,-0.01905143120501407,248,Coefficient-Induced Bias,-7.738635514922265e-4,N = 100
100,-0.02520646687227679,78,Coefficient-Induced Bias,-0.002553672540684393,N = 100
100,-0.03139544687839346,124,Coefficient-Induced Bias,-0.004669128427180591,N = 100
100,-0.031394773593334147,232,Coefficient-Induced Bias,-0.004544306621157401,N = 100
100,-0.02989520491907055,156,Coefficient-Induced Bias,-0.004261330357758997,N = 100
100,-0.0312009530750737,59,Coefficient-Induced Bias,-0.004503482007546689,N = 100
100,-0.023350418970568665,87,Coefficient-Induced Bias,-0.0022835159860765675,N = 100
100,-0.028952532782769658,147,Coefficient-Induced Bias,-0.0037175805977200937,N = 100
100,-0.02233265105490667,176,Coefficient-Induced Bias,-0.0019079056076144463,N = 100
100,-0.02223452380189228,16,Coefficient-Induced Bias,-0.001738579611036739,N = 100
100,-0.031515564981693445,134,Coefficient-Induced Bias,-0.004647836718544074,N = 100
100,-0.03148313750111842,39,Coefficient-Induced Bias,-0.004566739838824607,N = 100
100,-0.027710441942093822,23,Coefficient-Induced Bias,-0.003269261829761616,N = 100
100,-0.02119160828859401,11,Coefficient-Induced Bias,-0.0015343475007665308,N = 100
100,-0.026841998046897908,27,Coefficient-Induced Bias,-0.002957233661300629,N = 100
100,-0.02539271868889237,145,Coefficient-Induced Bias,-0.002376795397744935,N = 100
100,-0.03023961285047372,42,Coefficient-Induced Bias,-0.0038599971666399835,N = 100
100,-0.02107310400938389,94,Coefficient-Induced Bias,-1.6077007706671864e-4,N = 100
100,-0.030554495330591847,1,Coefficient-Induced Bias,-0.004264782699149761,N = 100
100,-0.021713247123853696,29,Coefficient-Induced Bias,3.52884016199595e-4,N = 100
100,-0.027149691755814942,141,Coefficient-Induced Bias,-0.002933893113461261,N = 100
100,-0.02732358258683154,14,Coefficient-Induced Bias,-0.003092313904811128,N = 100
100,-0.0312381785221717,212,Coefficient-Induced Bias,-0.004634201097442392,N = 100
100,-0.030022782393755387,119,Coefficient-Induced Bias,-0.0036731340089702913,N = 100
100,-0.01709516542502698,95,Coefficient-Induced Bias,4.276277639140291e-4,N = 100
100,-0.031508043276014974,104,Coefficient-Induced Bias,-0.0045747864542433625,N = 100
100,-0.03148089781348162,133,Coefficient-Induced Bias,-0.004663246950649347,N = 100
100,-0.027120012828027562,202,Coefficient-Induced Bias,-0.0035785468632567596,N = 100
100,-0.02965202119293242,9,Coefficient-Induced Bias,-0.00426105937416188,N = 100
100,-0.03147151348010019,34,Coefficient-Induced Bias,-0.004603456829205377,N = 100
100,-0.03060665082470937,121,Coefficient-Induced Bias,-0.004253683495956784,N = 100
100,-0.029256375080088215,85,Coefficient-Induced Bias,-0.003990680181601369,N = 100
100,-0.022340213997790292,237,Coefficient-Induced Bias,-6.388764696932947e-4,N = 100
100,-0.021590853640166774,250,Coefficient-Induced Bias,-9.043625992940507e-4,N = 100
100,-0.029059281530377512,153,Coefficient-Induced Bias,-0.003559044006995693,N = 100
100,-0.03149993580633398,159,Coefficient-Induced Bias,-0.004627658999405704,N = 100
100,-0.02029456376708605,194,Coefficient-Induced Bias,1.2681909929368462e-4,N = 100
100,-0.020932938267802292,26,Coefficient-Induced Bias,-7.133235176736141e-4,N = 100
100,-0.029846504210219504,215,Coefficient-Induced Bias,-0.003916575149481072,N = 100
100,-0.018899438717163486,235,Coefficient-Induced Bias,3.8491440564647483e-4,N = 100
100,-0.02016621128405305,129,Coefficient-Induced Bias,-3.9258845199530157e-4,N = 100
100,-0.029557408610318192,64,Coefficient-Induced Bias,-0.004402079255159008,N = 100
100,-0.029366840635986824,160,Coefficient-Induced Bias,-0.003393547937311281,N = 100
100,-0.02796792497485634,68,Coefficient-Induced Bias,-0.003223310838117721,N = 100
100,-0.015558278056582608,28,Coefficient-Induced Bias,3.4013564834345367e-4,N = 100
100,-0.031142616062537543,116,Coefficient-Induced Bias,-0.004336445197677896,N = 100
100,-0.008175518358387923,197,Coefficient-Induced Bias,0.001613542898848519,N = 100
100,-0.028797424059474164,111,Coefficient-Induced Bias,-0.004143717083174514,N = 100
100,-0.02542171980946273,213,Coefficient-Induced Bias,-0.0030069007695270322,N = 100
100,-0.013596315776227996,6,Coefficient-Induced Bias,0.0011668300468563597,N = 100
100,-0.0289147236893067,200,Coefficient-Induced Bias,-0.0032693155331179335,N = 100
100,-0.030394991877085387,125,Coefficient-Induced Bias,-0.004048114040806627,N = 100
100,-0.024846311747170446,223,Coefficient-Induced Bias,-0.002153116287627488,N = 100
100,-0.019391776236491465,168,Coefficient-Induced Bias,0.0011294884529734484,N = 100
100,-0.020229144561018653,131,Coefficient-Induced Bias,8.325885233866348e-4,N = 100
100,-0.031239210355656022,97,Coefficient-Induced Bias,-0.004508106946407464,N = 100
100,-0.01965489869705339,113,Coefficient-Induced Bias,-2.6093627281509324e-4,N = 100
100,-0.0075974594359927705,83,Coefficient-Induced Bias,0.0016421701872750827,N = 100
100,-0.02727833478917363,109,Coefficient-Induced Bias,-0.003655693907837154,N = 100
100,-0.028754256298665903,7,Coefficient-Induced Bias,-0.004023783599014452,N = 100
100,-0.030228298611049476,63,Coefficient-Induced Bias,-0.004269907606623491,N = 100
100,-0.028174389905823105,233,Coefficient-Induced Bias,-0.002244415615447304,N = 100
100,-0.022564184941527232,128,Coefficient-Induced Bias,-7.393507354604978e-4,N = 100
100,-0.027493536161532495,206,Coefficient-Induced Bias,-0.002775368074922069,N = 100
100,-0.022564184941527232,211,Coefficient-Induced Bias,-7.393507354604978e-4,N = 100
100,-0.03137296018183766,188,Coefficient-Induced Bias,-0.004597255299828351,N = 100
100,-0.029418851387908007,218,Coefficient-Induced Bias,-0.0039926016618538895,N = 100
100,-0.018198186244010595,139,Coefficient-Induced Bias,-1.4270877488009592e-4,N = 100
100,-0.02796828760620451,82,Coefficient-Induced Bias,-0.003457149095278611,N = 100
100,-0.02976239166424699,54,Coefficient-Induced Bias,-0.0036670753718545113,N = 100
100,-0.026291854965308836,165,Coefficient-Induced Bias,-0.002937626842861474,N = 100
100,-0.031249968939851103,199,Coefficient-Induced Bias,-0.004616569235370127,N = 100
100,-0.028367533433866554,49,Coefficient-Induced Bias,-0.0031898789887091494,N = 100
100,-0.030092819005291593,173,Coefficient-Induced Bias,-0.004490688299760848,N = 100
100,-0.031383157187619526,93,Coefficient-Induced Bias,-0.0046989305920143165,N = 100
100,-0.022669900456232295,163,Coefficient-Induced Bias,-0.0015248033023093077,N = 100
100,-0.026503791867226956,244,Coefficient-Induced Bias,-0.003135096101849033,N = 100
100,-0.026559810599117717,243,Coefficient-Induced Bias,-0.0021722876788425327,N = 100
100,-0.029228260632442993,140,Coefficient-Induced Bias,-0.003907274350483658,N = 100
100,-0.012357410747434572,48,Coefficient-Induced Bias,0.0019323759137419572,N = 100
100,-0.031293741525305396,196,Coefficient-Induced Bias,-0.004535464412121826,N = 100
100,-0.028593218906095452,152,Coefficient-Induced Bias,-0.003535655633812862,N = 100
100,-0.015558278056582608,24,Coefficient-Induced Bias,3.4013564834345367e-4,N = 100
100,-0.03128436398297357,110,Coefficient-Induced Bias,-0.004573711595145635,N = 100
100,-0.03132483529544422,44,Coefficient-Induced Bias,-0.004443116591687946,N = 100
200,-0.03145349377056378,73,Coefficient-Induced Bias,-0.0022536237193377384,N = 200
200,-0.028056376795957294,207,Coefficient-Induced Bias,-0.0016398005113641423,N = 200
200,-0.03146132784567629,25,Coefficient-Induced Bias,-0.0022148403245935144,N = 200
200,-0.013458299452299038,51,Coefficient-Induced Bias,6.515922636266547e-4,N = 200
200,-0.031319133850254754,80,Coefficient-Induced Bias,-0.002147825870269293,N = 200
200,-0.030800473502088588,136,Coefficient-Induced Bias,-0.002273510689643987,N = 200
200,-0.02888376950152116,179,Coefficient-Induced Bias,-0.001878546966601502,N = 200
200,-0.017020548882241804,100,Coefficient-Induced Bias,-2.454521521029207e-4,N = 200
200,-0.03151417528655892,157,Coefficient-Induced Bias,-0.002254502821795845,N = 200
200,-0.020607793743717795,204,Coefficient-Induced Bias,1.0089943674207458e-4,N = 200
200,-0.029333577786241127,150,Coefficient-Induced Bias,-0.0019385163334308952,N = 200
200,-0.023620177830281475,214,Coefficient-Induced Bias,-8.081006132546475e-4,N = 200
200,-0.00612871639219037,32,Coefficient-Induced Bias,8.343788640425842e-4,N = 200
200,-0.016517355982777815,155,Coefficient-Induced Bias,-1.0010198422183425e-4,N = 200
200,-0.029714674894805726,137,Coefficient-Induced Bias,-0.001710229287603171,N = 200
200,-0.02101202433968352,186,Coefficient-Induced Bias,-8.492967288212805e-4,N = 200
200,-0.02988592314537386,37,Coefficient-Induced Bias,-0.0017605929139210552,N = 200
200,-0.03151507363602574,228,Coefficient-Induced Bias,-0.0022547331409583093,N = 200
200,-0.025678526099331078,192,Coefficient-Induced Bias,-0.0010825119919712911,N = 200
200,-0.028056376795957294,162,Coefficient-Induced Bias,-0.0016398005113641423,N = 200
200,-0.010577182123233442,114,Coefficient-Induced Bias,7.594472632022065e-4,N = 200
200,-0.01751855808657443,38,Coefficient-Induced Bias,-1.2300732782577484e-4,N = 200
200,-0.016597247620720124,158,Coefficient-Induced Bias,-6.860287573895452e-5,N = 200
200,-0.03059639122958091,33,Coefficient-Induced Bias,-0.0022272121233369857,N = 200
200,-0.03037751726474036,77,Coefficient-Induced Bias,-0.002221857979020414,N = 200
200,-0.030092819005291593,19,Coefficient-Induced Bias,-0.0021963273257963323,N = 200
200,-0.0277614507720495,249,Coefficient-Induced Bias,-0.0013970336573284614,N = 200
200,-0.02574125894122889,198,Coefficient-Induced Bias,-0.001001404262482436,N = 200
200,-0.02572782311306676,55,Coefficient-Induced Bias,-0.0016617000252457936,N = 200
200,-0.017604784072237423,3,Coefficient-Induced Bias,3.734152839428573e-4,N = 200
200,-0.03087507972290593,13,Coefficient-Induced Bias,-0.002259713465624036,N = 200
200,-0.023871391308719403,35,Coefficient-Induced Bias,-0.0013590096338726987,N = 200
200,-0.03104989729220431,90,Coefficient-Induced Bias,-0.0022174680584822193,N = 200
200,-0.031399946930175116,184,Coefficient-Induced Bias,-0.002169980721869469,N = 200
200,-0.027528962766295906,236,Coefficient-Induced Bias,-0.0017047008109900563,N = 200
200,-0.028367533433866554,222,Coefficient-Induced Bias,-0.0014946487048682622,N = 200
200,-0.025807012733316093,21,Coefficient-Induced Bias,-0.0011069608460320124,N = 200
200,-0.027397145425570923,193,Coefficient-Induced Bias,-0.0018904929866521147,N = 200
200,-0.027726834343668294,201,Coefficient-Induced Bias,-0.0018856447245597652,N = 200
200,-0.03087507972290593,229,Coefficient-Induced Bias,-0.002259713465624036,N = 200
200,-0.02809965177198226,221,Coefficient-Induced Bias,-0.001978345868172804,N = 200
200,-0.025260003876095283,185,Coefficient-Induced Bias,-8.352151666973784e-4,N = 200
200,-0.03051436548154396,115,Coefficient-Induced Bias,-0.002164188179442861,N = 200
200,-0.018157973019943263,17,Coefficient-Induced Bias,-4.4475584892689213e-4,N = 200
200,-0.03143861205260412,122,Coefficient-Induced Bias,-0.002235389046263858,N = 200
200,-0.030558108452828248,81,Coefficient-Induced Bias,-0.002107780500009815,N = 200
200,-0.009123682500245867,106,Coefficient-Induced Bias,0.001487297489484951,N = 200
200,-0.031221148993481718,181,Coefficient-Induced Bias,-0.00222140486782052,N = 200
200,-0.0313875281689302,177,Coefficient-Induced Bias,-0.0022666042667385256,N = 200
200,-0.030543399086900624,130,Coefficient-Induced Bias,-0.002172020030229982,N = 200
200,-0.030795189591138583,41,Coefficient-Induced Bias,-0.0020895285003516006,N = 200
200,-0.030383359154392442,102,Coefficient-Induced Bias,-0.0020458554228522385,N = 200
200,-0.02619538552293227,208,Coefficient-Induced Bias,-0.0012854401919845104,N = 200
200,-0.02899564095298951,231,Coefficient-Induced Bias,-0.0018503938047186308,N = 200
200,-0.027539112460508164,99,Coefficient-Induced Bias,-0.0014729411880587406,N = 200
200,-0.03043530620357726,171,Coefficient-Induced Bias,-0.0020845622518186335,N = 200
200,-0.031115972781445733,242,Coefficient-Induced Bias,-0.0023038752195725376,N = 200
200,-0.012709795625209575,46,Coefficient-Induced Bias,3.378098105106808e-4,N = 200
200,-0.029392871160835332,180,Coefficient-Induced Bias,-0.0018352559874367236,N = 200
200,-0.028309011928075,88,Coefficient-Induced Bias,-0.0017976763675254803,N = 200
200,-0.03075387106600369,117,Coefficient-Induced Bias,-0.0021293157336078616,N = 200
200,-0.018916064559507118,216,Coefficient-Induced Bias,-2.5651901812973055e-4,N = 200
200,-0.027301811731148207,227,Coefficient-Induced Bias,-0.0016649284300931377,N = 200
200,-0.031024414073342,167,Coefficient-Induced Bias,-0.0021683282939546356,N = 200
200,-0.027504070537734404,30,Coefficient-Induced Bias,-0.0018501252225502363,N = 200
200,-0.01900187058246683,182,Coefficient-Induced Bias,-5.728748201401235e-4,N = 200
200,-0.016597247620720124,183,Coefficient-Induced Bias,-6.860287573895452e-5,N = 200
200,-0.02877114283986648,75,Coefficient-Induced Bias,-0.0020954175283661725,N = 200
200,-0.03144544389892501,47,Coefficient-Induced Bias,-0.0022081691317832886,N = 200
200,-0.02946978194379979,123,Coefficient-Induced Bias,-0.0021343132951618937,N = 200
200,-0.030639535982526223,108,Coefficient-Induced Bias,-0.0022431384303699398,N = 200
200,-0.029052801330109013,101,Coefficient-Induced Bias,-0.001615564197363084,N = 200
200,-0.03147274970437397,178,Coefficient-Induced Bias,-0.002270092702564397,N = 200
200,-0.023969722503763502,161,Coefficient-Induced Bias,-8.146701575001414e-4,N = 200
200,-0.03128436398297357,61,Coefficient-Induced Bias,-0.002239310756818935,N = 200
200,-0.02307904038374431,84,Coefficient-Induced Bias,-7.465428042779942e-4,N = 200
200,-0.03150939770172295,138,Coefficient-Induced Bias,-0.00224930390773731,N = 200
